,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour Description,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Fruit Colour,Crown,Crown,Crown,Fruit Size,Fruit Size,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Fruit Shape,Conspicuousness,Conspicuousness,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement,Measurement
Dypsis procumbens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,4.0,8.0,0.86,0.7,0.18,0.75,0.6,0.9,0.5,0.4,0.6
Dypsis pusilla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2.0,5.0,16.0,2.0,0.94,1.11,1.6,1.3,1.9,1.2,0.9,1.5
Dypsis schatzii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0,1.0,13.0,0.32,0.22,0.12,1.35,1.3,1.4,0.5,0.4,0.6
Dypsis scottiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,4.0,2.0,7.0,0.96,0.66,0.33,0.85,0.6,1.1,0.5,0.35,0.65
Dypsis serpentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,6.0,4.0,6.0,1.95,1.2,0.8,1.3,1.2,1.4,0.95,0.9,1.0
Dypsis tenuissima,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0.5,0.4,11.0,0.6,0.19,0.46,0.975,0.95,1.0,0.525,0.5,0.55
Dypsis thiryana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1.0,0.6,10.0,0.48,0.3,0.2,1.0,0.9,1.1,0.4,0.3,0.5
Dypsis tokoravina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,20.0,60.0,14.0,2.7,2.14,0.61,1.75,1.5,2.0,1.2,1.1,1.3
Dypsis utilis,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,17.0,37.0,15.0,4.3,3.8,0.55,2.25,1.7,2.8,1.7,1.4,2.0
Elaeis oleifera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,6.0,40.0,40.0,11.3,8.3,2.75,2.75,2.5,3.0,1.9,1.8,2.0
Euterpe catinga,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,20.0,15.0,11.0,3.0,2.5,0.55,1.05,0.8,1.3,1.05,0.8,1.3
Euterpe oleracea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,20.0,20.0,14.0,4.3,3.7,0.65,1.5,1.0,2.0,1.5,1.0,2.0
Gaussia maya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,20.0,15.0,8.0,3.8,2.62,1.23,1.25,1.0,1.5,1.25,1.0,1.5
Geonoma aspidiifolia,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,3.0,1.6,12.0,0.68,0.38,0.33,0.95,0.79,1.12,0.61,0.5,0.78
Geonoma baculifera,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4.0,3.0,12.0,1.1,0.8,0.33,1.06,0.82,1.28,0.715375,0.5,0.96
Geonoma brenesii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0.4,1.2,11.0,0.68,0.3,0.43,0.73,0.69,0.76,0.61,0.6,0.62
Geonoma camana,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2.0,4.0,14.0,1.0,1.37,1.45,1.07,0.87,1.35,0.694090909,0.6,0.89
Geonoma chococola,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3.0,5.0,21.0,1.98,1.37,0.66,1.89,1.48,2.49,1.570526316,1.13,1.78
Geonoma concinna,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.5,1.2,11.0,0.49,0.4,0.11,0.77,0.6,0.83,0.67,0.61,0.73
Geonoma congesta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,8.0,4.0,15.0,1.83,1.32,0.56,1.24,0.97,1.52,0.97625,0.81,1.17
Geonoma cuneata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,3.0,3.4,17.0,1.2,2.5,0.54,0.76,0.5,1.16,0.539259259,0.44,0.65
Geonoma deversa,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,7.0,3.0,18.0,1.75,0.93,0.95,0.66,0.44,0.81,0.566756757,0.44,0.74
Geonoma epetiolata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3.0,1.1,10.0,0.6,0.51,0.11,0.86,0.73,0.99,0.51,0.47,0.53
Geonoma ferruginea,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,5.0,2.5,9.0,0.98,0.53,0.5,0.69,0.52,0.93,0.536875,0.42,0.73
Geonoma hugonis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1.2,0.8,12.0,0.32,0.2,0.14,0.62,0.54,0.69,0.54,0.47,0.63
Geonoma interrupta,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,8.0,12.0,24.0,3.1,2.0,1.15,0.58,0.3,0.75,0.4575,0.36,0.63
Geonoma laxiflora,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5.0,1.3,10.0,0.495,0.36,0.16,0.78,0.58,1.0,0.62,0.5,0.74
Geonoma leptospadix,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,2.0,1.0,17.0,0.71,0.43,0.31,0.8,0.7,0.94,0.716190476,0.6,0.78
Geonoma longipedunculata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1.0,4.0,13.0,1.425,0.65,0.83,0.6,0.59,0.61,0.46,0.4,0.52
Geonoma longivaginata,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,5.0,2.1,10.0,1.59,1.01,0.1,0.65,0.51,0.79,0.53,0.43,0.63
Geonoma macrostachys,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1.0,5.0,12.0,3.205,1.93,0.12,0.821714286,0.6,1.37,0.725,0.47,0.98
Geonoma maxima,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,9.0,5.0,20.0,2.2,1.2,0.2,1.113070866,0.5,1.82,0.823228347,0.5,1.3
Hydriastele costata,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,35.0,40.0,15.0,4.5,4.5,0.55,0.85,0.7,1.0,0.475,0.45,0.5
Hydriastele cylindrocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,27.0,15.0,18.0,2.75,2.5,0.33,1.25,1.2,1.3,0.55,0.5,0.6
Hydriastele flabellata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,5.0,2.0,8.0,0.4,0.3,0.3,1.35,1.2,1.5,0.65,0.5,0.8
Hydriastele hombronii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,20.0,28.0,20.0,1.8,1.8,0.33,1.55,1.4,1.7,0.625,0.6,0.65
Hydriastele longispatha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,24.0,25.0,19.0,2.5,2.3,0.22,1.0,0.7,1.3,0.65,0.4,0.9
Hydriastele pinangoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,15.0,7.5,10.0,1.3,0.9,0.54,1.3,1.0,1.6,0.6,0.4,0.8
Hydriastele variabilis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,8.0,4.0,7.0,1.4,1.1,0.3,1.1,1.0,1.2,0.7,0.63,0.78
Hydriastele wendlandiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,25.0,12.0,10.0,2.5,1.9,0.8,0.9,0.7,1.1,0.65,0.5,0.8
Hyophorbe indica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8.0,13.0,6.0,3.0,3.0,0.61,2.3,1.8,2.8,1.05,1.0,1.1
Hyospathe macrorhachis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2.0,3.0,10.0,1.2,0.7,0.43,0.93,0.66,1.2,0.65,0.4,0.9
Hyphaene compressa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,20.0,40.0,15.0,1.5,2.5,1.25,8.5,7.0,10.0,6.5,5.0,8.0
Hyphaene coriacea,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,6.0,30.0,20.0,1.17,1.8,0.75,4.5,3.0,6.0,3.25,2.5,4.0
Iriartea deltoidea,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,30.0,70.0,7.0,5.55,4.7,0.97,2.35,2.0,2.7,2.5,2.0,3.0
Iriartella setigera,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,12.0,5.0,8.0,1.36,0.96,0.45,1.55,1.4,1.7,0.85,0.7,1.0
Iriartella stenocarpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,3.0,2.0,5.0,1.22,0.8,0.47,1.2,0.9,1.5,0.7,0.5,0.5
Itaya amicorum,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,4.0,10.0,25.0,1.4,2.1,2.4,2.25,2.0,2.5,1.75,1.5,2.0
Kentiopsis oliviformis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,30.0,28.0,10.0,3.1,3.0,0.12,1.7,1.4,2.0,0.85,0.8,0.9
Kentiopsis piersoniorum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15.0,25.0,12.0,2.5,2.3,0.22,2.0,1.7,2.3,0.95,0.9,1.0
Kerriodoxa elegans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,7.0,20.0,35.0,1.27,1.3,0.92,4.0,3.0,5.0,4.5,4.0,5.0
Leopoldinia piassaba,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,15.0,16.0,4.8,3.3,1.55,3.798333334,3.55,4.42,3.34,3.0,3.68
Leopoldinia pulchra,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,7.0,10.0,25.0,2.13,1.5,0.68,2.84,2.04,4.06,2.72,1.81,3.62
Lepidocaryum tenue,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,4.0,3.0,20.0,1.17,1.7,2.1,2.25,1.5,3.0,1.5,1.0,2.0
Licuala paludosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,7.0,7.0,10.0,1.2,1.0,2.5,0.9,0.8,1.0,0.8,0.6,1.0
Linospadix microcaryus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3.0,2.5,9.0,0.7,0.5,0.22,0.7,0.5,0.9,0.65,0.5,0.8
Linospadix minor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5.0,2.0,12.0,1.1,0.6,0.55,1.3,0.8,1.8,0.55,0.3,0.8
Linospadix monostachyos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,6.0,5.0,10.0,1.3,0.5,0.92,1.2,0.9,1.5,0.7,0.4,1.0
Linospadix palmerianus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3.0,2.0,12.0,0.6,0.5,0.12,1.25,1.0,1.5,0.6,0.5,0.7
Livistona alfredii,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,15.0,50.0,30.0,1.4,1.4,1.35,3.25,2.5,4.0,3.5,3.0,4.0
Livistona benthamii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,18.0,30.0,50.0,1.6,2.1,2.1,1.1,0.9,1.3,1.0,0.9,1.1
Livistona drudei,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,28.0,20.0,60.0,1.5,1.5,2.6,1.5,1.0,2.0,1.05,1.0,1.1
Livistona eastonii,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,12.0,15.0,20.0,0.9,0.9,2.1,1.4,1.2,1.6,0.85,0.8,0.9
Livistona humilis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,7.0,8.0,15.0,0.5,0.5,0.75,1.5,1.1,1.9,0.9,0.8,1.0
Livistona lorophylla,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,15.0,20.0,40.0,1.0,1.0,2.1,1.1,0.8,1.4,0.75,0.6,0.9
Livistona saribus,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,40.0,65.0,30.0,2.0,2.0,2.1,2.3,2.1,2.5,1.5,1.0,2.0
Lytocaryum hoehnei,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,5.0,15.0,22.0,1.05,0.75,0.33,3.15,3.0,3.3,2.15,2.0,2.3
Lytocaryum weddellianum,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5.0,10.0,20.0,1.3,0.99,0.34,2.0,1.7,2.3,1.35,1.0,1.7
Manicaria saccifera,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,10.0,20.0,25.0,15.0,8.0,6.75,5.0,4.0,6.0,5.0,4.0,6.0
Marojejya insignis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,8.0,40.0,20.0,7.23,5.8,1.63,1.95,1.8,2.1,1.55,1.1,2.0
Masoala kona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,9.0,35.0,17.0,4.82,4.52,0.33,3.25,2.5,4.0,1.3,1.2,1.4
Masoala madagascariensis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,10.0,35.0,31.0,4.7,3.9,0.92,2.45,2.4,2.5,1.85,1.8,1.9
Mauritiella armata,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,25.0,30.0,10.0,1.5,1.0,3.25,3.0,2.5,3.5,2.5,2.0,3.0
Mauritiella macroclada,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,10.0,15.0,12.0,1.25,1.5,2.85,2.25,2.0,2.5,1.9,1.8,2.0
Maxburretia furtadoana,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,3.0,5.0,12.0,0.75,0.75,0.75,0.95,0.9,1.0,0.6,0.5,0.7
Normanbya normanbyi,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,30.0,25.0,10.0,2.5,2.2,0.33,4.25,3.5,5.0,3.2,2.5,3.9
Nypa fruticans,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0.0,60.0,15.0,10.2,9.0,1.25,11.5,8.0,15.0,6.0,2.0,10.0
