Unnamed: 0,Species,Main Trait,SIM,Dataset,Sentence,Result,GT Sub Traits
752,Clusia rosea,Fruit colour,Jacc,Caribbean,"Brown and Drab Hawaiian Flowers, Clusiaceae - Mangosteen Family, Dull-colored Flowers, Hawaiian Fruit or Cones, Introduced Plants, Perennials, Pink Flowers, Poisonous Hawaiian Plants, Shrubs, Trees, White Flowers, White Hawaiian Flowers.",Can infer correct Entity,['brown']
753,Rhizophora mangle,Fruit colour,Jacc,Caribbean,"The leaves have a prominent paler midrib and are stiff, leathery, dark green above, paler green below, opposite, petiolate, and elliptical in shape.",None of the above,['green']
754,Clusia rosea,Fruit shape,Jacc,Caribbean,"Soon afterwards, the large, light green fruit develop and turn black when ripe.",Can infer correct Entity,['globose']
755,Clusia rosea,Fruit colour,Bert,Caribbean,"Borne near the branch tips, they give way to fleshy, light green, poisonous fruits, 3 in.",Can infer correct Quality,['brown']
756,Bursera tomentosa,Leaf composition,Bert,Caribbean,"Leaves odd-pinnate, grayish- or yellowish-tomentose, be- coming less so with age, 5-20 cm long, petioles not winged, 10-44 mm long, leaflets 7-11, elliptic to ovate elliptic or lanceolate-elliptic, slightly in- equilateral, the laterals rounded to acute apically and obtuse basally, the termin- als acute apically and basally, coriaceous, the margins crenate, tomentose and lighter beneath, less pubescent above with shorter trichomes, 27-62 mm long and 14-25 mm wide, the middle pairs usually largest, sessile or with petiolules to 1 mm long, rachis winged, the wing elliptic to oblanceolate, to 9 mm wide.",Can infer correct Value,['5-11 pinnate']
757,Schoepfia schreberi,Sepals / calyx shape,Bert,Caribbean,"Ovary half-immersed, the ovules pen- dulous, lacking integument, the style thin, the stigma 2- or 3-lobed.",None of the above,['connate']
758,Vitex cymosa,Leaf upper side,Bert,Caribbean,"The leaves are compound and with 3 to 5 leaflets like fingers, a petiole.or stem 6 to 12 cm in length.",Can infer correct Entity,"['glabrous, pubescent']"
759,Bourreria succulenta,Stamen shape,Bert,Caribbean,The corolla has 5.white fused petals that are salverform.,None of the above,['shorter than corolla']
760,Laguncularia racemosa,Fruit colour,Bert,Caribbean,"Flowers mostly bisexual ca 5 mm.long, bell-shaped, whitish.",None of the above,['whitish green']
761,Jacquinia arborea,Sepals / calyx shape,Bert,Caribbean,"Calyx lobes very broadly ovate or suborbicular, 2.2-3.2 x 2.5-3.2 mm, margins appressed to fruit, entire or very vaguely erose.",Can infer correct Entity,['free']
762,Cynophalla flexuosa,Petals / corolla colour,Bert,Caribbean,"Leaves alternate, blades 4-10, 1.5-2.5 cm, oblong or linear, coriaceous, glabrous, the apex rounded or emarginate, the base rounded, the margins entire, revolute, upper surface yellowish green, shiny or dull, lower surface pale green, dull, with a prominent midvein, petioles 5-8 mm long, light brown.",None of the above,['greenish white']
763,Hippomane mancinella,Life form,Jacc,Caribbean,"Also known as beach apple, the Manchineel is a flowering, evergreen, round-crowned tree that can grow up to 15 meters high.",Can infer correct Value,['tree']
764,Hippomane mancinella,Petals / corolla colour,Bert,Caribbean,Surrounding the carpellate flowers are glands and often-additional staminate flowers.,Can infer correct Entity,['green']
765,Vitex compressa,Leaf lower side,Bert,Caribbean,"Leaves opposite or in whorls of 3, 3 to 7-foliolate, mostly petiolate, leaflets entire, toothed or lobed, often glandular Provided by:.",Can infer correct Entity,['glabrous']
766,Guaiacum sanctum,Fruit type,Bert,Caribbean,Fruit color: yellow orange.,Can infer correct Entity,['capsule']
767,Schoepfia schreberi,Fruit shape,Jacc,Caribbean,"Spurious fruit ellipsoid, 10-13 mm.",Can infer correct Value,['globose']
768,Schoepfia schreberi,Fruit shape,Jacc,Caribbean,"Spurious fruit ellipsoid, 10-13 mm.",None of the above,['globose']
769,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Spurious fruit ellipsoid, 10-13 mm.",Can infer correct Value,['glabrous']
770,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Spurious fruit ellipsoid, 10-13 mm.",None of the above,['glabrous']
771,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Leaves alternate, entire, coriaceous.",Can infer correct Entity,['glabrous']
772,Randia aculeata,Fruit colour,Bert,Caribbean,Fruit color: white.,Can infer correct Value,"['green, black, whitish']"
773,Guaiacum officinale,Leaf margin,Jacc,Caribbean,"Leaf Texture: Smooth, veiny undersurface.",Can infer correct Entity,['entire']
774,Vachellia tortuosa,Petals / corolla shape,Bert,Caribbean,"Yellow flowers, stamens numerous.",Can infer correct Entity,['tubular']
775,Coccoloba uvifera,Petals / corolla shape,Bert,Caribbean,"Flowers: tepals round to broadly elliptic, margins entire, apex obtuse.",Can infer correct Value,['tepals']
776,Randia aculeata,Leaf margin,Jacc,Caribbean,Leaf venation: pinnate.,Can infer correct Entity,['entire']
778,Vitex compressa,Leaf position,Jacc,Caribbean,The leaf stalks are 5-12 cm long.,None of the above,['opposite']
779,Vitex cymosa,Leaf lower side,Bert,Caribbean,Flower: lobe of the calyx not patent.,None of the above,['pubescent']
780,Clusia rosea,Petals / corolla colour,Bert,Caribbean,"Flower characteristics: showy, emerges at branch tips.",Can infer correct Entity,"['white, pink']"
781,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,Morphology Stem: shoot erect.,None of the above,['glabrous']
783,Coccoloba uvifera,Petals / corolla shape,Bert,Caribbean,Morphology Stem: shoot erect.,None of the above,['tepals']
785,Vitex cymosa,Leaf position,Jacc,Caribbean,Each leaf measures 5 to 10 cm long by 4 to 6 cm wide.,Can infer correct Entity,['opposite']
786,Zanthoxylum monophyllum,Leaf margin,Bert,Caribbean,"Leaves unifoliolate, blade 3.8-11 x 1.6-5 cm, chartaceous, elliptic, glabrous, the apex obtuse to shortly acuminate, the base obtuse, the margins entire to crenulate, revolute, petioles 0.5-1.8 cm long.",Can infer correct Value,"['entire, crenate']"
788,Guaiacum sanctum,Leaf shape,Bert,Caribbean,"Leaf shape: obovate, elliptic.",Can infer correct Value,['obovate']
790,Crossopetalum rhacoma,Fruit shape,Jacc,Caribbean,"Fruit a drupe, seed exarillate.",Can infer correct Entity,['globose']
791,Guaiacum sanctum,Fruit type,Bert,Caribbean,"Fruit covering: fleshy, 5-winged capsule.",Can infer correct Value,['capsule']
792,Schoepfia schreberi,Fruit shape,Jacc,Caribbean,"Spurious fruit with the drupe enclosed in the adnate, accrescent calyx, eccentrically annulate at the apex, seed with the small embryo at the tip of the endosperm.",Can infer correct Entity,['globose']
793,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Leaf blades lanceolate, ovate, or elliptic, 4 to 8, 2 to 4 cm, brittle, base cuneate-attenuate to obtuse, apex acuminate, both surfaces shiny, ± tuberculate, venation brochidodromous, midrib sunken on both surfaces, lateral veins 4 to 6 pairs.",Can infer correct Entity,['glabrous']
794,Bourreria succulenta,Fruit colour,Bert,Caribbean,The fruit is a.berry that turns orange-red at maturity.,Can infer correct Value,"['orange, yellow, red']"
795,Randia aculeata,Fruit colour,Bert,Caribbean,Fruit shape: oval.,Can infer correct Entity,"['green, black, whitish']"
796,Guaiacum officinale,Leaf margin,Jacc,Caribbean,"Leaf Type: Once Pinnate, Even-Pinnate, Leaflet #: 4-6.",Can infer correct Entity,['entire']
797,Vachellia tortuosa,Petals / corolla shape,Bert,Caribbean,"Leaves: compound, 4-8 pairs of segments, 15-20 pairs of leaflets, petiolar gland elliptic.",None of the above,['tubular']
798,Coccoloba uvifera,Petals / corolla shape,Bert,Caribbean,"Pistillate flowers: tube obpyriform, 12-20, 8-12 mm, becoming fleshy.",Can infer correct Entity,['tepals']
799,Randia aculeata,Leaf margin,Jacc,Caribbean,Leaf type: simple.,Can infer correct Entity,['entire']
801,Vitex compressa,Leaf position,Jacc,Caribbean,"Leaves opposite or in whorls of 3, 3 to 7-foliolate, mostly petiolate, leaflets entire, toothed or lobed, often glandular Provided by:.",Can infer correct Value,['opposite']
802,Vitex cymosa,Leaf lower side,Bert,Caribbean,"Leaves are opposite, usually compound.",Can infer correct Entity,['pubescent']
803,Clusia rosea,Petals / corolla colour,Bert,Caribbean,"Flowers 1-3 in axillary or pseudoterminal cymes, bracteoles 2-4, sepals 4-6, 1-2 cm long, persistent, petals 6-8, white or pink, broadly obovate to suborbicular, 3-4 cm long, staminate flowers with stamens in several whorls, connate at base into a ring, inner stamens connate into a solid resinous mass, pistillate flowers with staminodes connate into a cup, ovary globose, stigmas 6-9, sessile.",Can infer correct Entity,"['white, pink']"
804,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,Young leaf.,None of the above,['glabrous']
805,Zanthoxylum monophyllum,Leaf margin,Bert,Caribbean,"Follicles 1 or less often 2, stipitate, nearly globose, 6-7 mm long.",None of the above,"['entire, crenate']"
807,Guaiacum sanctum,Leaf shape,Bert,Caribbean,"Leaf type: even-pinnately compound, made up of 3-5 pairs of leaflets.",Can infer correct Entity,['obovate']
808,Guaiacum officinale,Fruit colour,Bert,Caribbean,"Flowers are bluish purple, showy and 2.5 cm across with five petals that gives way to bright yellow to orange fruit.",None of the above,"['yellow, orange']"
809,Crossopetalum rhacoma,Fruit shape,Jacc,Caribbean,The fruit is a red drupe at maturity.,Can infer correct Entity,['globose']
810,Guaiacum sanctum,Fruit type,Bert,Caribbean,Fruit length: ½ inch.,Can infer correct Entity,['capsule']
811,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Leaves ovate to lanceolate, 4-8 cm.",Can infer correct Entity,['glabrous']
812,Bourreria succulenta,Fruit colour,Bert,Caribbean,"Flowers: White, with five white fused petals.",None of the above,"['orange, yellow, red']"
813,Randia aculeata,Fruit colour,Bert,Caribbean,Fruit cover: fleshy.,Can infer correct Entity,"['green, black, whitish']"
814,Guaiacum officinale,Leaf margin,Jacc,Caribbean,"It has obtuse, ovate or oblong and entire margined leaflets of 6-13 cm long.",Can infer correct Value,['entire']
815,Vachellia tortuosa,Petals / corolla shape,Bert,Caribbean,The calyx and corolla are usually 4 to 5-lobed.,Can infer correct Quality,['tubular']
816,Coccoloba uvifera,Petals / corolla shape,Bert,Caribbean,Flowers: Inconspicuous white flowers appear on thin.,Can infer correct Entity,['tepals']
817,Randia aculeata,Leaf margin,Jacc,Caribbean,Leaf shape: orbiculate.,Can infer correct Entity,['entire']
819,Vitex cymosa,Leaf lower side,Bert,Caribbean,"Flowers with the calyx campanulate, 2-3 mm long and 2-5 mm wide, densely puberulent, 5-dentate, the teeth ovate, obtuse or acute, often re- curved or reflexed, often nigrescent on the inner surface, corolla blue or pinkish- blue to violet, lilac, or purple, rarely white, hypocrateriform, the tube 6-7 mm long, puberulent outside above the calyx, the limb conspicuously 2-lipped, the 4 small lobes ca.",None of the above,['pubescent']
820,Clusia rosea,Petals / corolla colour,Bert,Caribbean,Flower color: pink and white.,Can infer correct Value,"['white, pink']"
821,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,"Achenes 8-11, 8-10 mm, shiny.",None of the above,['glabrous']
822,Zanthoxylum monophyllum,Leaf margin,Bert,Caribbean,"Calyx of triangular lobes, 0.5-0.6 mm long, petals white, ca.",None of the above,"['entire, crenate']"
824,Guaiacum sanctum,Leaf shape,Bert,Caribbean,"Leaves opposite, 6 to 10 cm, not folded at night, stipules usually deciduous, ovate, 3 mm, apex acuminate, usually mucronulate, hairy, petiole shorter than leaflets, leaflets 6 to 8, green, elliptic to obliquely oblong or obovate, 20 to 35, 8 to 15 mm, apex rounded, subcoriaceous.",Can infer correct Value,['obovate']
825,Guaiacum officinale,Fruit colour,Bert,Caribbean,Fruit has red flesh with black seeds in it.,Can infer correct Entity,"['yellow, orange']"
826,Crossopetalum rhacoma,Fruit shape,Jacc,Caribbean,"Fruit obovoid fleshy drupe, red or maroon, 3-6 mm long, bright red at maturity.",Can infer correct Value,['globose']
827,Guaiacum sanctum,Fruit type,Bert,Caribbean,Flower color: bluish purple.,None of the above,['capsule']
828,Bourreria succulenta,Fruit colour,Bert,Caribbean,Leaf stems are yellow-green.,None of the above,"['orange, yellow, red']"
829,Randia aculeata,Fruit colour,Bert,Caribbean,"Berry globose to ovoid, 1-1.2 cm long, leathery, turning from green to white, crowned by a persistent calyx.",Can infer correct Value,"['green, black, whitish']"
830,Guaiacum officinale,Leaf margin,Jacc,Caribbean,Each leaf has 2-3 pair of smooth and stalkless leaflets which are arranged on slender mid-rib.,Can infer correct Entity,['entire']
831,Vachellia tortuosa,Petals / corolla shape,Bert,Caribbean,"Fruit: a slender moniliform, slightly curved.",None of the above,['tubular']
832,Coccoloba uvifera,Petals / corolla shape,Bert,Caribbean,"Inflorescences 10-30 cm, puberulent or glabrous, pistillate pendent in fruit, peduncle 1-5 cm, glabrous.",None of the above,['tepals']
833,Randia aculeata,Leaf margin,Jacc,Caribbean,Leaf margin: entire.,Can infer correct Value,['entire']
835,Vitex cymosa,Leaf lower side,Bert,Caribbean,"Fruit succulent, purplish- or violet-black, 1.1-2 cm long and 0.9-1.5 cm wide, glabrous, edible, fruiting cymes usually 4-6.5 cm long and lax, the pedicels 1-5 mm long, strigose- pubescent, fruiting-calyx flattened-campanulate, ca.",None of the above,['pubescent']
836,Clusia rosea,Petals / corolla colour,Bert,Caribbean,"Leaf color: dull green on top, yellow green underneath.",None of the above,"['white, pink']"
837,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,"Leaves: Leathery, broad, almost hairless leaves have prom­inent red.veins.",Can infer correct Value,['glabrous']
838,Zanthoxylum monophyllum,Leaf margin,Bert,Caribbean,"Seeds nearly ovoid, shiny black, 5 mm long.",None of the above,"['entire, crenate']"
840,Guaiacum sanctum,Leaf shape,Bert,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['obovate']
842,Crossopetalum rhacoma,Fruit shape,Jacc,Caribbean,"Fruit asymmetrically obovoid, slightly angular, 3-5 mm long, turning from green to red.",Can infer correct Value,['globose']
843,Guaiacum sanctum,Fruit type,Bert,Caribbean,"Seeds brown or black, ellipsoid, 10 to 11 mm.",None of the above,['capsule']
844,Schoepfia schreberi,Leaf upper side,Bert,Caribbean,"Roots with small white haustoria, to 3 mm across.",None of the above,['glabrous']
845,Bourreria succulenta,Fruit colour,Bert,Caribbean,"Fruit turning from green to redorange, 5-12 mm diam., shiny, nearly globose or ovoid, apiculate at apex.",Can infer correct Value,"['orange, yellow, red']"
846,Randia aculeata,Fruit colour,Bert,Caribbean,Fruit length:.5 to 1 inch.,Can infer correct Entity,"['green, black, whitish']"
847,Guaiacum officinale,Leaf margin,Jacc,Caribbean,"Guaiacum is a slow growing, broad leaf and small tree which grows with trunk diameter of 60 cm and upto 12 m in height.",Can infer correct Entity,['entire']
848,Vachellia tortuosa,Petals / corolla shape,Bert,Caribbean,Stipular spines: may be fused at bases.,None of the above,['tubular']
849,Randia aculeata,Leaf margin,Jacc,Caribbean,Leaf color: green.,Can infer correct Entity,['entire']
851,Vitex cymosa,Leaf lower side,Bert,Caribbean,"The leaves are compound and with 3 to 5 leaflets like fingers, a petiole.or stem 6 to 12 cm in length.",Can infer correct Entity,['pubescent']
852,Clusia rosea,Petals / corolla colour,Bert,Caribbean,"Large, lush leaves 7.",None of the above,"['white, pink']"
853,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,Branch with young leaves.,None of the above,['glabrous']
854,Zanthoxylum monophyllum,Leaf margin,Bert,Caribbean,Leafless Z. simulans showing its knobbed bark.,None of the above,"['entire, crenate']"
856,Guaiacum sanctum,Leaf shape,Bert,Caribbean,"The leaves are opposite, paripinnate, 3-10 cm long, with 2-5 pairs of sessile leaves, coriaceous, oblong or obovate, entire, mucronate, of dark green colour, 2,5-3,5 cm long and up to 1,7 cm broad, asymmetric in respect to the central nervation.",Can infer correct Value,['obovate']
858,Guaiacum sanctum,Leaf upper side,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['glabrous']
862,Guaiacum sanctum,Leaf glands,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['absent']
866,Clusia rosea,Leaf lower side,Jacc,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['glabrous']
870,Clusia rosea,Leaf shape,Bert,Caribbean,Leaf arrangement: opposite/subopposite.,Can infer correct Entity,['ovate']
874,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Entity,['globose']
875,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Value,['globose']
876,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Quality,['globose']
878,Rhizophora mangle,Fruit colour,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Value,['green']
879,Rhizophora mangle,Fruit colour,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Quality,['green']
881,Coccoloba uvifera,Fruit type,Jacc,Caribbean,"Showy, Evergreen, Fruit & Berries.",Can infer correct Value,['drupe']
883,Coccoloba uvifera,Stamen number,Jacc,Caribbean,Hoogte: 8 cm.,None of the above,['8']
884,Vitex cymosa,Leaf shape,Bert,Caribbean,"Leaves are opposite, usually compound.",None of the above,['elliptic']
885,Handroanthus billbergii,Leaf shape,Bert,Caribbean,Leaves palmately 5-9_ foliate.,Can infer correct Entity,"['lanceolate, elliptic']"
887,Coccoloba uvifera,Life form,Jacc,Caribbean,Seagrape tree branch transverse cut.,Can infer correct Value,['tree']
888,Schoepfia schreberi,Life form,Jacc,Caribbean,Tree from 10-15 m tall.,Can infer correct Value,['tree']
889,Clusia rosea,Leaf shape,Bert,Caribbean,Large Large Extra Large Leaves Large,Can infer correct Quality,['ovate']
890,Jacquinia arborea,Inflorescence type,Bert,Caribbean,"Racemes 7 to 25-flowered, to 6 cm, commonly exceeding leaves.",Can infer correct Value,['raceme']
891,Guaiacum officinale,Stamen number,Jacc,Caribbean,Choose an option 10 seeds 50 seeds Clear.,None of the above,['10']
892,Hippomane mancinella,Leaf shape,Bert,Caribbean,"Leaf blades 5-14 x 3-8 cm, ovate to elliptic, nearly coriaceous, glabrous, the apex acute, obtuse, or rounded, the base obtuse or rounded, the margins crenate-dentate, petioles 3-5 cm long, with an annular gland at apex, stipules ovate to lanceolate, ca.",Can infer correct Value,"['elliptic, ovate']"
893,Bourreria succulenta,Petals / corolla number,Jacc,Caribbean,The corolla has 5 white fused petals that are salverform.,Can infer correct Value,['5']
894,Trichilia trifolia,Petals / corolla colour,Bert,Caribbean,"Petals fleshy, 5, imbricate, 3 mm long, 1-1.5 mm broad, oblong, elliptic or spathulate, apex rounded and often slightly hooded, glabrous.",Can infer correct Entity,['whitish']
895,Bourreria succulenta,Leaf shape,Jacc,Caribbean,Leaf stems are yellow-green.,Can infer correct Entity,"['obovate, elliptic']"
897,Guaiacum sanctum,Leaf upper side,Jacc,Caribbean,"Leaf shape: obovate, elliptic.",Can infer correct Entity,['glabrous']
899,Guaiacum sanctum,Leaf glands,Jacc,Caribbean,"Leaf shape: obovate, elliptic.",Can infer correct Entity,['absent']
901,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,The fruit gradually ripens to a purplish color.,Can infer correct Entity,['globose']
906,Vitex cymosa,Leaf shape,Bert,Caribbean,"The leaves are compound and with 3 to 5 leaflets like fingers, a petiole.or stem 6 to 12 cm in length.",Can infer correct Value,['elliptic']
907,Handroanthus billbergii,Leaf shape,Bert,Caribbean,"Calyx coriaceous, campanulate, 5 dentate, pubescent.",None of the above,"['lanceolate, elliptic']"
909,Coccoloba uvifera,Life form,Jacc,Caribbean,Tree trunk transverse cut showing ring growth.,Can infer correct Value,['tree']
910,Schoepfia schreberi,Life form,Jacc,Caribbean,The lower part of these petals are fused to each other to form a tube of sorts.,None of the above,['tree']
911,Clusia rosea,Leaf shape,Bert,Caribbean,"Crown shape: round, spreading.",None of the above,['ovate']
912,Jacquinia arborea,Inflorescence type,Bert,Caribbean,"Racemes 7-25-flowered, to 6 cm, commonly exceeding leaves.",Can infer correct Value,['raceme']
913,Guaiacum officinale,Stamen number,Jacc,Caribbean,There are 10 stamens with golden yellow anthers.,Can infer correct Value,['10']
914,Coccoloba uvifera,Fruit type,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Entity,['drupe']
916,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Entity,['globose']
917,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,The fruit is a drupe that turns reddish-purple at maturity and occurs in large long clusters.,Can infer correct Value,['globose']
918,Hippomane mancinella,Leaf shape,Bert,Caribbean,"Pistillate calyx ca 3 mm long, ovate and somewhat acuminate.",None of the above,"['elliptic, ovate']"
919,Bourreria succulenta,Petals / corolla number,Jacc,Caribbean,The corolla has 5.white fused petals that are salverform.,Can infer correct Value,['5']
920,Trichilia trifolia,Petals / corolla colour,Bert,Caribbean,"Flower: petal free, petal imbricate, filament of the stamen partly adnate united, nectary present/obscure, ovary glabrous, ovary number of the locule trilocular, ovary number of the ovule per locule 1.",None of the above,['whitish']
922,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,Young leaf.,Can infer correct Entity,['glabrous']
923,Guaiacum sanctum,Leaf upper side,Jacc,Caribbean,Leaf color: dark green.,Can infer correct Entity,['glabrous']
925,Guaiacum sanctum,Leaf glands,Jacc,Caribbean,Leaf color: dark green.,Can infer correct Entity,['absent']
927,Rhizophora mangle,Fruit colour,Jacc,Caribbean,"The sprouted seedlings each have a stout, up to 10 inch long, green to brown, point-tipped root.",None of the above,['green']
928,Vitex cymosa,Leaf shape,Bert,Caribbean,Flower: lobe of the calyx not patent.,None of the above,['elliptic']
929,Handroanthus billbergii,Leaf shape,Bert,Caribbean,"Ovary conical to linear, bilocular.",None of the above,"['lanceolate, elliptic']"
931,Schoepfia schreberi,Life form,Jacc,Caribbean,"Shrub or small tree 2-7 m tall, bark grayish, deeply furrowed, twigs glabrous, furrowed, minutely papillose, becoming grayish at age.",Can infer correct Value,['tree']
932,Clusia rosea,Leaf shape,Bert,Caribbean,"Large, lush leaves 7.",Can infer correct Quality,['ovate']
933,Jacquinia arborea,Inflorescence type,Bert,Caribbean,"Racemes solitary with 7-25 flowers, rachis 3-6 cm long, 1-1.6 mm thick, lepidote in axils and at nodes, bracts 1-1.5 mm long, inserted at nodes or fused to pedicels for 1-2 mm, pedicels 7-13 mm long.",Can infer correct Value,['raceme']
934,Guaiacum officinale,Stamen number,Jacc,Caribbean,"It has 5 petals, 5 sepals and 10 stamens with bilocular ovary.",Can infer correct Value,['10']
935,Hippomane mancinella,Leaf shape,Bert,Caribbean,"Leaves on slender petioles 3-5 cm long, blades ovate to elliptic, 5-10 cm long, 4-6 cm wide just below middle, somewhat shiny above with veins slightly raised particularly on drying, the base rounded to subcordate, the margin crenulate with 8-12 shallow teeth, the apex short-acuminate.",Can infer correct Value,"['elliptic, ovate']"
936,Bourreria succulenta,Petals / corolla number,Jacc,Caribbean,The 5 stamens are fused.to the corolla and are alternate with the petals.,Can infer correct Value,['5']
937,Trichilia trifolia,Petals / corolla colour,Bert,Caribbean,"Young branches short pubescent to glabrous, dark brown to grey, usually with conspicuous pale lenticels.",None of the above,['whitish']
938,Clusia rosea,Leaf lower side,Jacc,Caribbean,"Leaf type and persistence: broadleaf evergreen, evergreen.",Can infer correct Entity,['glabrous']
940,Guaiacum sanctum,Leaf upper side,Jacc,Caribbean,Leaf type and persistence: evergreen.,Can infer correct Entity,['glabrous']
942,Guaiacum sanctum,Leaf glands,Jacc,Caribbean,Leaf type and persistence: evergreen.,Can infer correct Entity,['absent']
944,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,"In late summer, it bears green fruit, about 2 cm diameter, in large, grape -like clusters.",Can infer correct Quality,['globose']
945,Coccoloba uvifera,Fruit shape,Jacc,Caribbean,"In late summer, it bears green fruit, about 2 cm diameter, in large, grape -like clusters.",Can infer correct Entity,['globose']
949,Vitex cymosa,Leaf shape,Bert,Caribbean,Each leaf measures 5 to 10 cm long by 4 to 6 cm wide.,Can infer correct Value,['elliptic']
950,Handroanthus billbergii,Leaf shape,Bert,Caribbean,Fruit an elongate dehiscent capsule.,None of the above,"['lanceolate, elliptic']"
952,Coccoloba uvifera,Life form,Jacc,Caribbean,"Fruit: form of the perianth frutiferous globose, texture coriaceous/crassus/succulent, indumentum glabrous, lobe not accrescent, form of the nutlet ovoid, apex obtuse.",None of the above,['tree']
953,Jacquinia arborea,Inflorescence type,Bert,Caribbean,"Racemes solitary with 7-25 flowers, rachis 3-6 cm long, 1-1.6 mm thick, lepidote in axils and at base, bracts 1-1.5 mm long, inserted at the nodes or fused to the pedicels for 1-2 mm, pedicels 7-13 mm long.",Can infer correct Value,['raceme']
954,Guaiacum officinale,Stamen number,Jacc,Caribbean,"This small tree is very slow growing, reaching about 10 m in height with a trunk diameter of 60 cm.",None of the above,['10']
958,Hippomane mancinella,Leaf shape,Bert,Caribbean,"Staminate calyx ca 1 mm long, the lobes broadly ovate.",None of the above,"['elliptic, ovate']"
959,Bourreria succulenta,Petals / corolla number,Jacc,Caribbean,The 5 stamens are fused to the corolla and are alternate with the petals.,Can infer correct Value,['5']
960,Trichilia trifolia,Petals / corolla colour,Bert,Caribbean,"Inflorescences axillary, crowded-racemose and appearing to be fascicled, glabrous or scattered puberulent, bracts persistent, deltoid-naviculate.",None of the above,['whitish']
961,Clusia rosea,Leaf lower side,Jacc,Caribbean,Leaf blade length: 3 to 6 inches.,Can infer correct Entity,['glabrous']
963,Guaiacum sanctum,Leaf upper side,Jacc,Caribbean,Leaf blade length: 1 to 2 inches.,Can infer correct Entity,['glabrous']
965,Guaiacum sanctum,Leaf glands,Jacc,Caribbean,Leaf blade length: 1 to 2 inches.,Can infer correct Entity,['absent']
968,Vitex cymosa,Leaf shape,Bert,Caribbean,"Fruit succulent, purplish- or violet-black, 1.1-2 cm long and 0.9-1.5 cm wide, glabrous, edible, fruiting cymes usually 4-6.5 cm long and lax, the pedicels 1-5 mm long, strigose- pubescent, fruiting-calyx flattened-campanulate, ca.",Can infer correct Value,['elliptic']
969,Handroanthus billbergii,Leaf shape,Bert,Caribbean,"Corolla tubular, yellow or magenta with yellow throat.",None of the above,"['lanceolate, elliptic']"
971,Coccoloba uvifera,Life form,Jacc,Caribbean,"Leaf: form of the blade rounded/orbicular/suborbicular, base of the blade rounded/cordate/subcordate, indumentum of the side abaxial glabrate, indumentum of the ochrea glabrate, petiole articulate to ochrea, presence of the ochrea persistent.",None of the above,['tree']
972,Clusia rosea,Leaf shape,Bert,Caribbean,Ficus Lyrata straight.,None of the above,['ovate']
973,Jacquinia arborea,Inflorescence type,Bert,Caribbean,"Flowers leathery, in terminal racemes, the axes 6-8 cm long, pedicels stout, 1-1.5 cm long, ascending.",Can infer correct Value,['raceme']
974,Hippomane mancinella,Leaf shape,Bert,Caribbean,"The leaves are arranged alternately, to 12 cm in length, oval to suborbicular with an acute to apiculate apex and a crenate/serrulate leaf margin.",Can infer correct Value,"['elliptic, ovate']"
975,Bourreria succulenta,Petals / corolla number,Jacc,Caribbean,The calyx has 5 fused sepals forming a tube.,None of the above,['5']
976,Trichilia trifolia,Petals / corolla colour,Bert,Caribbean,"Nectary patelliform or cyathiform, usually fused at base to staminal tube, 0.2-0.5 mm long, glabrous, very rarely absent.",None of the above,['whitish']
977,Clusia rosea,Leaf lower side,Jacc,Caribbean,"Leaf color: dull green on top, yellow green underneath.",Can infer correct Entity,['glabrous']
978,Coccoloba uvifera,Leaf lower side,Bert,Caribbean,Branch with young leaves.,Can infer correct Entity,['glabrous']
979,Albizia glaberrima,spine,Jacc,PlantNet,Definition: whole plant arborescent.,None of the above,['Plant without spines']
